tweet,sentiment_label
"RT @Northern_GG: ROG #Gaming PC, &amp; Monitor #Giveaway
-Tag Your Friends
-Turn Notifications On
-RT, Like &amp; Follow @NRGgg
Click Here: https:/…",negative
"RT @NRGgg: ROG #Gaming PC, &amp; Monitor #Giveaway
-Tag Your Friends
-Turn Notifications On
-RT, Like &amp; Follow @NRGgg
Click Here: https://t.co/…",negative
@parkchaeys GIRAFFE IMCRYINGNWJDD,negative
@giraffe_cloud りょーかい！とりあえずバス取ってみるね,negative
RT @Imogenery: *does best #DavidAttenborough voice* The NL giraffe is known to appear when his mate insists on… https://t.co/gVhu10a0e5,postive
@umeka21 んー、妹が17に来るかも〜って感じなんですよねぇ。そっちが大丈夫なら10日の方がよいかも。,negative
BABORSE: The baborse is more massive than five giraffe. It is a parasite of the wolf and can be found around tepid moss patties.,postive
Tuesday is the giraffe gif competition,negative
@ben_the_giraffe How very generous of them. I hope you enjoy one another's company.,postive
How to Save The World's Tallest Animal https://t.co/5ETSFMUR1u,negative
RT @notawaer: sorry to be a meme repeater but #thezonecast https://t.co/l2bQi4UlMW,negative
@giraffe_1210 @wr_0325 저두여.... 이거 하나도 죽겄는데 아무것도 안하고 소비만 하는데도 힘든데ㅠ ㅠ 따라가고픈데 기운딸려죽겄는것..,negative
邪道さんのあーソロツイートに「関係者面するな」「チケット自分で取れ」「緑推しやめろ」とか言ってるモノノフは何……？？モノノフ怖すぎん……？？？,negative
RT @ChelseaClinton: How to Save The World's Tallest Animal https://t.co/aQtSvuiJCD,negative
"@FauxMcCaskey Only controversy is, can we get a good performance outta giraffe boy to get any interest from another team...",postive
RT @suprisingnature: When your job is to take care of a baby giraffe. https://t.co/TVhYCDblJW,negative
"仕事遅い人達が集まるとほんと終わるの遅いからまじいらいらする
しゃべってないで早く仕事してくれ",negative
Did that giraffe ever give birth??,negative
@giraffe_cloud いくーー！！！10か17にしたいんだけど17の方がいいかな？連休だし,negative
"@heroinsus his giraffe neck, i can't. https://t.co/lMzWLHysiG",negative
Floyd had Mcgreggor tryina stand like a new born giraffe 🤦🏽‍♂️😂💪🏽,postive
RT @IamKrisLondon: Reppin' Giraffe Gang out here in NY! Wonder who I'm going up against... 👀🙄😎🏈 https://t.co/l6QGapSNcP,negative
@wr_0325 저 그래서 세상 조용히 하구있어써요 휴..,negative
